range_counter, time, receiver_id, requester_position[1], requester_position[2], requester_position[3], receiver_position[1], receiver_position[2], receiver_position[3], range, true_range
27, 1.606696011999918e9, 2, -1.9873959360267995e6, 5.469690986708765e6, 3.7741989369007046e6, -1.9875792332065024e6, 5.469879523183282e6, 3.7742925610061237e6, 276.8185882067471, 279.1224308902056
27, 1.606696011999918e9, 3, -1.9873959360267995e6, 5.469690986708765e6, 3.7741989369007046e6, -1.9875075000443023e6, 5.469599989256656e6, 3.7740523447708627e6, 204.35137855199562, 205.46610139706806
27, 1.606696011999918e9, 4, -1.9873959360267995e6, 5.469690986708765e6, 3.7741989369007046e6, -1.9876304394838172e6, 5.469792882835782e6, 3.773859737562775e6, 423.162133427452, 424.77156555749724
28, 1.606696071999918e9, 2, -1.9642889438424248e6, 5.723361060983513e6, 3.3913169544314044e6, -1.9644748260445856e6, 5.723561734060292e6, 3.3914269733174723e6, 294.4463790945992, 294.8322101059289
28, 1.606696071999918e9, 3, -1.9642889438424248e6, 5.723361060983513e6, 3.3913169544314044e6, -1.9643954963904733e6, 5.72326447243988e6, 3.3911607418172867e6, 215.54834030164446, 212.3326942942477
28, 1.606696071999918e9, 4, -1.9642889438424248e6, 5.723361060983513e6, 3.3913169544314044e6, -1.964515642856518e6, 5.723457615456203e6, 3.390966764014254e6, 425.91144185085847, 428.19217350557585
29, 1.606696131999918e9, 2, -1.9306683167035049e6, 5.9523011807638025e6, 2.993823791611576e6, -1.9308568657348503e6, 5.952516047103819e6, 2.993951449512188e6, 311.5857266129478, 313.0731877408206
29, 1.606696131999918e9, 3, -1.9306683167035049e6, 5.9523011807638025e6, 2.993823791611576e6, -1.9307689947533312e6, 5.952198026022367e6, 2.993657834082922e6, 221.6623293192432, 219.815540202148
29, 1.606696131999918e9, 4, -1.9306683167035049e6, 5.9523011807638025e6, 2.993823791611576e6, -1.930886189487131e6, 5.952391610434272e6, 2.993463940277176e6, 428.35529085447956, 430.27788464639684
30, 1.606696191999918e9, 2, -1.8868970341076134e6, 6.155435589581638e6, 2.583428917895143e6, -1.8870883556340889e6, 6.155666983884531e6, 2.583575292899724e6, 334.1431085407356, 334.0252862742352
