range_counter,time,requester_id,requester_position_x,requester_position_y,requester_position_z,requester_velocity_x,requester_velocity_y,requester_velocity_z,receiver_id,receiver_position_x,receiver_position_y,receiver_position_z,range_measurement,true_range
23,1.606695771999918e9,2,-1.9695934574100722e6,4.232998710567056e6,5.128010176397099e6,-452.95170925772163,5815.800858027056,-4964.747322911821,3,-1.9697894543827283e6,4.232849651835838e6,5.127788432216872e6,329.4058485745298,331.36656455812107
23,1.606695771999918e9,2,-1.9695934574100722e6,4.232998710567056e6,5.128010176397099e6,-452.95170925772163,5815.800858027056,-4964.747322911821,4,-1.9698119814909815e6,4.232894106858043e6,5.128102806205946e6,258.25031582928466,259.3742303383064
24,1.606695831999918e9,2,-1.9910448699693473e6,4.57275922419816e6,4.819306923822768e6,-262.2878525028327,5505.224883807948,-5321.684564953889,1,-1.991077408009381e6,4.57261124004901e6,4.819385424818713e6,171.73471667295416,170.64711779916536
24,1.606695831999918e9,2,-1.9910448699693473e6,4.57275922419816e6,4.819306923822768e6,-262.2878525028327,5505.224883807948,-5321.684564953889,3,-1.9912373616579345e6,4.572603943718343e6,4.8190676136021465e6,347.66925926727725,344.14307966483966
24,1.606695831999918e9,2,-1.9910448699693473e6,4.57275922419816e6,4.819306923822768e6,-262.2878525028327,5505.224883807948,-5321.684564953889,4,-1.991266251919217e6,4.572657654245135e6,4.819408422517069e6,262.65277790198604,263.87195385303113
25,1.606695891999918e9,2,-2.0011014498470635e6,4.893120324778168e6,4.489864366780655e6,-73.2958208488506,5169.3841950289425,-5655.807926360791,1,-2.00113465425507e6,4.8929718808729695e6,4.489945023459088e6,169.85184849810125,172.17324262949876
25,1.606695891999918e9,2,-2.0011014498470635e6,4.893120324778168e6,4.489864366780655e6,-73.2958208488506,5169.3841950289425,-5655.807926360791,3,-2.0012888843105228e6,4.892957635908287e6,4.489606604363107e6,358.79447512607027,357.8279060888624
25,1.606695891999918e9,2,-2.0011014498470635e6,4.893120324778168e6,4.489864366780655e6,-73.2958208488506,5169.3841950289425,-5655.807926360791,4,-2.0013249609693217e6,4.89302281433038e6,4.489974901249965e6,271.8884318014189,267.73751718129324
26,1.606695951999918e9,2,-1.9998942488783181e6,5.1926087840386825e6,4.1410952876923988e6,113.00305880340558,4809.720030577953,-5965.668787683441,1,-1.999927822489618e6,5.1924601317414325e6,4.141177396870771e6,174.15411203731716,173.10866537056782
26,1.606695951999918e9,2,-1.9998942488783181e6,5.1926087840386825e6,4.1410952876923988e6,113.00305880340558,4809.720030577953,-5965.668787683441,3,-2.000075050446325e6,5.192437262027066e6,4.1408182781526856e6,370.32547555135073,372.6168173267596
26,1.606695951999918e9,2,-1.9998942488783181e6,5.1926087840386825e6,4.1410952876923988e6,113.00305880340558,4809.720030577953,-5965.668787683441,4,-2.0001191441091886e6,5.192516376674143e6,4.1412149462490715e6,269.79352235180295,270.98921763508275
27,1.606696011999918e9,2,-1.9876149301659726e6,5.469841284913528e6,3.7744963722048434e6,295.6106195273441,4427.787187494588,-6249.920107155741,1,-1.9876485368217786e6,5.469692557307222e6,3.7745791770669315e6,173.6015213617471,173.5106722289977
